PART	SOURCE	REF	TEXT
EDGE	Slidedeck PPTX	line 146	[slide9] est ADDRESSABLE FIRE ALARM CONTROL panels | iO-64  | (64 devices)  | iO-1000  | (1000 devices) | EDGE  | (1000 devices) | Network 24 Panels | EST3X  | (1500 devices) | Network 64 Panels | EST4  | (2500 devices) | Network 150 Panels
EDGE	Slidedeck PPTX	line 291	[notesSlide8] Further addressing info â€“ modules vs detectors | 64 vs io vs 1000 vs edge total devices | 8
EDGE	Slidedeck PPTX	line 80	[slide3] est ADDRESSABLE FIRE ALARM CONTROL panels | iO | 2007-Present | EDGE | 2025-Present | EST3X | 2011-Present | EST4 | 2019-Present
EST3X	Exam DOCX	line 210	EST3X = 64 panels; EST4 = 150 panels
EST3X	Exam DOCX	line 24	A. EDGEB. iO-64C. iO-1000D. EST3X
EST3X	Exam DOCX	line 32	A. iO-64 and EST3XB. iO-1000 and EDGEC. EST3X and EST4D. EDGE and EST4
EST3X	Exam DOCX	line 34	EST3X: __________ panelsEST4: __________ panels
EST3X	Exam DOCX	line 40	A. EST2B. EST3C. iO-1000D. EST3X
EST3X	Slidedeck PPTX	line 146	[slide9] est ADDRESSABLE FIRE ALARM CONTROL panels | iO-64  | (64 devices)  | iO-1000  | (1000 devices) | EDGE  | (1000 devices) | Network 24 Panels | EST3X  | (1500 devices) | Network 64 Panels | EST4  | (2500 devices) | Network 150 Panels
EST3X	Slidedeck PPTX	line 80	[slide3] est ADDRESSABLE FIRE ALARM CONTROL panels | iO | 2007-Present | EDGE | 2025-Present | EST3X | 2011-Present | EST4 | 2019-Present
EST4	Exam DOCX	line 210	EST3X = 64 panels; EST4 = 150 panels
EST4	Exam DOCX	line 26	A. iO-64B. EST3XC. iO-1000D. EST4
EST4	Exam DOCX	line 30	A. iO-1000B. EDGEC. EST3XD. EST4
EST4	Exam DOCX	line 32	A. iO-64 and EST3XB. iO-1000 and EDGEC. EST3X and EST4D. EDGE and EST4
EST4	Exam DOCX	line 36	A. iO-64B. iO-1000C. EST3XD. EST4
EST4	Exam DOCX	line 38	A. EST3B. EST2C. EDGED. EST4
EST4	Slidedeck PPTX	line 146	[slide9] est ADDRESSABLE FIRE ALARM CONTROL panels | iO-64  | (64 devices)  | iO-1000  | (1000 devices) | EDGE  | (1000 devices) | Network 24 Panels | EST3X  | (1500 devices) | Network 64 Panels | EST4  | (2500 devices) | Network 150 Panels
EST4	Slidedeck PPTX	line 80	[slide3] est ADDRESSABLE FIRE ALARM CONTROL panels | iO | 2007-Present | EDGE | 2025-Present | EST3X | 2011-Present | EST4 | 2019-Present
G1AVRF	Slidedeck PPTX	line 42	[slide136] g1AVRF | Genesis LED G1 Series horns, strobes, and horn-strobes are compact, wall-mounted, fire alarm notification appliances designed for indoor dry applications. See Table 1 through Table 3 for a list of models.  | NAC
G1AVRF	Slidedeck PPTX	line 45	[slide139] g1AVRF Configuration | To configure the notification appliance:  | Remove the appliance cover. See Figure 1. | Insert a small, flat-bladed screwdriver into the slot at the bottom of the appliance.  | Gently pull up on the screwdriver to pry the bottom of the appliance cover down and away from the appliance.  | Lift the bottom of the cover out and over the top of the appliance.  | Set the light and sound output switches. See Figure 2.  | Replace the appliance cover.
G1AVRF	Slidedeck PPTX	line 47	[slide140] g1AVRF Configuration
G1AVRF	Slidedeck PPTX	line 48	[slide141] g1AVRF Installation | To install the appliance:  | Remove the appliance cover.  | Connect the field wiring. Observe signal polarity for the appliance to operate properly. See Figure 3.  | Using the captive screws, attach the appliance to the electrical box. Do not overtighten the screws. See Figure 4.  | Replace the cover by hooking it to the top of the appliance, and then snapping the bottom into place. See Figure 1.  | Test the unit for proper operation.
G1AVRF	Slidedeck PPTX	line 49	[slide142] g1AVRF Testing | This unit is not serviceable or repairable. If the unit fails to operate, contact the supplier for a replacement.  | Perform a visual and operational inspection in accordance with applicable codes and standards or as directed by the local authority having jurisdiction.  | Input wiring test points are available on the front of the appliance when the cover is removed. The test points let you easily spot-check the field circuit wiring without the need to remove the appliance from the wall. See Figure 5.
G1AVRF	Slidedeck PPTX	line 50	[slide143] g1AVRF Specifications
G1AVRF	Slidedeck PPTX	line 51	[slide144] g1AVRF Specifications
G4S	Exam DOCX	line 131	A. G1 SeriesB. G4S SeriesC. SIGA-AB4-LFD. SIGA-RB4
G4S	Exam DOCX	line 274	G4S/G4SV â€” confirm speaker/strobe requirements, 25/70 VRMS requirements, speaker wattage/voltage settings, and strobe requirements.
G4S	Slidedeck PPTX	line 52	[slide145] g4sVwF | Genesis LED G4S speakers and G4SV speaker-strobes are wall mounted plug-in fire alarm notification appliances designed for indoor dry applications with 25 or 70 VRMS distributed speaker systems. See the tables below for a list of models.  | NAC
G4S	Slidedeck PPTX	line 53	[slide146] G4S models
G4SV	Exam DOCX	line 274	G4S/G4SV â€” confirm speaker/strobe requirements, 25/70 VRMS requirements, speaker wattage/voltage settings, and strobe requirements.
G4SV	Slidedeck PPTX	line 52	[slide145] g4sVwF | Genesis LED G4S speakers and G4SV speaker-strobes are wall mounted plug-in fire alarm notification appliances designed for indoor dry applications with 25 or 70 VRMS distributed speaker systems. See the tables below for a list of models.  | NAC
G4SVWF	Slidedeck PPTX	line 52	[slide145] g4sVwF | Genesis LED G4S speakers and G4SV speaker-strobes are wall mounted plug-in fire alarm notification appliances designed for indoor dry applications with 25 or 70 VRMS distributed speaker systems. See the tables below for a list of models.  | NAC
G4SVWF	Slidedeck PPTX	line 54	[slide147] g4svwf Configuration | To configure the notification appliance:  | Remove the appliance cover. See Figure 1.  | Insert a small, flat-bladed screwdriver into the slot at the bottom of the appliance.  | Gently pull up on the screwdriver to pry the bottom of the appliance cover down and away from the appliance.  | Lift the bottom of the cover out and over the top of the appliance.  | On speakers and speaker-strobes, set the speaker wattage and voltage switches for the required values. See Figure 2.  | On speaker-strobes, set the strobe candela switch for the required value. See Figure 3.  | Replace the appliance cover.
G4SVWF	Slidedeck PPTX	line 55	[slide148] g4svwf Configuration
G4SVWF	Slidedeck PPTX	line 56	[slide149] g4svwf Installation | To install the appliance:  | Using the screws supplied with the wiring plate, attach the wiring plate and, if used, the trim plate to the electrical box. See Figure 4. Do not overtighten the screws. The wiring plate and the trim plate are both ordered separately.  | Connect the field wiring. Observe signal polarity for the appliance to operate properly. See Figure 5.  | Remove the shorting clip (Figure 5, item 5). Retain for future use.  | Plug the appliance into the wiring plate by setting the appliance on the top of the wiring plate, and then snapping the bottom into place. See Figure 6. To unplug the appliance, press the spring clip on the bottom, and then lift the appliance away from the mounting plate.  | Test the unit for proper operation.
G4SVWF	Slidedeck PPTX	line 58	[slide150] g4svwf Testing | This unit is not serviceable or repairable. If the unit fails to operate, contact the supplier for a replacement.  | Perform a visual and operational inspection in accordance with applicable codes and standards or as directed by the local authority having jurisdiction.  | Input wiring test points are available on the front of the appliance when the cover is removed. The test points let you easily spot check the field circuit wiring without the need to remove the appliance from the wall. See Figure 8 and Figure 9.
G4SVWF	Slidedeck PPTX	line 59	[slide151] g4svwf specifications
G4SVWF	Slidedeck PPTX	line 60	[slide152] g4svwf specifications
IO-1000	Exam DOCX	line 28	A. EDGEB. EST3XC. EST4D. iO-1000
IO-1000	Exam DOCX	line 32	A. iO-64 and EST3XB. iO-1000 and EDGEC. EST3X and EST4D. EDGE and EST4
IO-1000	Slidedeck PPTX	line 146	[slide9] est ADDRESSABLE FIRE ALARM CONTROL panels | iO-64  | (64 devices)  | iO-1000  | (1000 devices) | EDGE  | (1000 devices) | Network 24 Panels | EST3X  | (1500 devices) | Network 64 Panels | EST4  | (2500 devices) | Network 150 Panels
IO-64	Exam DOCX	line 32	A. iO-64 and EST3XB. iO-1000 and EDGEC. EST3X and EST4D. EDGE and EST4
IO-64	Slidedeck PPTX	line 146	[slide9] est ADDRESSABLE FIRE ALARM CONTROL panels | iO-64  | (64 devices)  | iO-1000  | (1000 devices) | EDGE  | (1000 devices) | Network 24 Panels | EST3X  | (1500 devices) | Network 64 Panels | EST4  | (2500 devices) | Network 150 Panels
SIGA-270	Slidedeck PPTX	line 111	[slide58] The SIGA-270 and SIGA-270L Manual Pull Station is a single-stage noncoded break glass pull station coupled with a Signature single input module. The module supervises the pull station and sends an alarm signal to the Signature controller module when the pull station is activated. The SIGA-270 and SIGA-270L requires one action to activate an alarm. To activate an alarm, pull the pull station handle with enough force to break the glass rod. The module requires one address on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status when the module is removed from the electrical box:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-270 | MODULE
SIGA-270	Slidedeck PPTX	line 111	[slide58] The SIGA-270 and SIGA-270L Manual Pull Station is a single-stage noncoded break glass pull station coupled with a Signature single input module. The module supervises the pull station and sends an alarm signal to the Signature controller module when the pull station is activated. The SIGA-270 and SIGA-270L requires one action to activate an alarm. To activate an alarm, pull the pull station handle with enough force to break the glass rod. The module requires one address on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status when the module is removed from the electrical box:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-270 | MODULE
SIGA-270	Slidedeck PPTX	line 111	[slide58] The SIGA-270 and SIGA-270L Manual Pull Station is a single-stage noncoded break glass pull station coupled with a Signature single input module. The module supervises the pull station and sends an alarm signal to the Signature controller module when the pull station is activated. The SIGA-270 and SIGA-270L requires one action to activate an alarm. To activate an alarm, pull the pull station handle with enough force to break the glass rod. The module requires one address on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status when the module is removed from the electrical box:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-270 | MODULE
SIGA-270	Slidedeck PPTX	line 112	[slide59] SIGA-270 INSTALLATION NOTES | This module is shipped from the factory as an assembled unit; it contains no user-serviceable parts and should not be disassembled.  | This module will not operate without electrical power. As fires frequently cause power interruption, we suggest that you discuss further safeguards with your local fire protection specialist.
SIGA-270	Slidedeck PPTX	line 114	[slide60] INSTALLING A SIGA-270 | Write the address assigned to the module on the label provided, and then apply the label to the module. Remove the serial number label from the module, and then attach it to the project documentation.  | Wire the module as shown in Figure 2.  | Using a flat blade screwdriver, turn the cover release screw counterclockwise to open the pull station.  | Using the two #6-32 Ã— 1/2 machine screws provided, mount the pull station on the electrical box. Pull the glass rod release lever and install the glass rod through the mounting bracket on the front of the pull-station.  | Set the toggle switch on the backplate to the NORMAL position, and then snap the cover to its locked position.
SIGA-270	Slidedeck PPTX	line 115	[slide61] WIRING A SIGA-270
SIGA-270	Slidedeck PPTX	line 116	[slide62] SIGA-270 SPECIFICATIONS
SIGA-270L	Slidedeck PPTX	line 111	[slide58] The SIGA-270 and SIGA-270L Manual Pull Station is a single-stage noncoded break glass pull station coupled with a Signature single input module. The module supervises the pull station and sends an alarm signal to the Signature controller module when the pull station is activated. The SIGA-270 and SIGA-270L requires one action to activate an alarm. To activate an alarm, pull the pull station handle with enough force to break the glass rod. The module requires one address on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status when the module is removed from the electrical box:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-270 | MODULE
SIGA-270L	Slidedeck PPTX	line 111	[slide58] The SIGA-270 and SIGA-270L Manual Pull Station is a single-stage noncoded break glass pull station coupled with a Signature single input module. The module supervises the pull station and sends an alarm signal to the Signature controller module when the pull station is activated. The SIGA-270 and SIGA-270L requires one action to activate an alarm. To activate an alarm, pull the pull station handle with enough force to break the glass rod. The module requires one address on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status when the module is removed from the electrical box:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-270 | MODULE
SIGA-278	Slidedeck PPTX	line 117	[slide63] The SIGA-278 Manual Pull Station is a double-action noncoded break glass pull station coupled with a Signature single input module. The module supervises the pull station and sends an alarm signal to the Signature controller module when the pull station is activated. Two actions are required to activate an alarm. To activate an alarm, lift the upper door marked LIFT THEN PULL HANDLE, and then pull the alarm handle marked PULL FOR FIRE with enough force to break the glass rod. The module requires one address on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-278 | MODULE
SIGA-278	Slidedeck PPTX	line 117	[slide63] The SIGA-278 Manual Pull Station is a double-action noncoded break glass pull station coupled with a Signature single input module. The module supervises the pull station and sends an alarm signal to the Signature controller module when the pull station is activated. Two actions are required to activate an alarm. To activate an alarm, lift the upper door marked LIFT THEN PULL HANDLE, and then pull the alarm handle marked PULL FOR FIRE with enough force to break the glass rod. The module requires one address on the Signature signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. A bicolor LED provides visible indication of the moduleâ€™s status:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-278 | MODULE
SIGA-278	Slidedeck PPTX	line 118	[slide64] SIGA-278 INSTALLATION NOTES | This module is shipped from the factory as an assembled unit; it contains no user-serviceable parts and should not be disassembled.  | This module will not operate without electrical power. As fires frequently cause power interruption, we suggest that you discuss further safeguards with your local fire protection specialist.
SIGA-278	Slidedeck PPTX	line 119	[slide65] INSTALLING A SIGA-278 | Write the address assigned to the module on the label provided, and then apply the label to the module. Remove the serial number label from the module, and then attach it to the project documentation.  | Wire the module as shown in Figure 2.  | Insert the key into the cover lock and turn the key to open the station, rotating the cover away from the backplate.  | Using the two #6-32 Ã— 1/2 machine screws provided, mount the pull station on the electrical box. Install the glass rod into the GLASS ROD mounting brackets inside the cover. 6. Set the toggle switch on the backplate to the NORMAL position.  | Rotate the cover back into position on the backplate, turn the key to secure the cover, and then remove the key.
SIGA-278	Slidedeck PPTX	line 120	[slide66] WIRING A SIGA-278
SIGA-278	Slidedeck PPTX	line 121	[slide67] SIGA-278 SPECIFICATIONS
SIGA-AA30	Exam DOCX	line 142	55. The SIGA-AA30 and SIGA-AA50 are:
SIGA-AA30	Slidedeck PPTX	line 20	[slide116] SIGA-AA30 and SIGA-AA50 Audio Amplifiers are 30 and 50 watt, dual input, high efficiency, switch mode amplifiers capable of producing a 25 or 70 VRMS audio signal from a 1 or 25 VRMS input. Typically, channel 1 input is used for alert signals and channel 2 input for evacuation (EVAC) signals. Both amplifier models are field-configurable and use two addresses on the signaling line circuit. Activating the primary (first) address selects the signal on channel 1. Activating both addresses selects the signal on channel 2.  | SIGA-aa30/aa50 | MODULE
SIGA-AA30	Slidedeck PPTX	line 20	[slide116] SIGA-AA30 and SIGA-AA50 Audio Amplifiers are 30 and 50 watt, dual input, high efficiency, switch mode amplifiers capable of producing a 25 or 70 VRMS audio signal from a 1 or 25 VRMS input. Typically, channel 1 input is used for alert signals and channel 2 input for evacuation (EVAC) signals. Both amplifier models are field-configurable and use two addresses on the signaling line circuit. Activating the primary (first) address selects the signal on channel 1. Activating both addresses selects the signal on channel 2.  | SIGA-aa30/aa50 | MODULE
SIGA-AA30	Slidedeck PPTX	line 21	[slide117] SIGA-aa30/aa50 wiring
SIGA-AA30	Slidedeck PPTX	line 22	[slide118] SIGA-aa30/aa50 wiring
SIGA-AA30	Slidedeck PPTX	line 23	[slide119] SIGA-aa30/aa50 specifications
SIGA-AA50	Exam DOCX	line 142	55. The SIGA-AA30 and SIGA-AA50 are:
SIGA-AA50	Slidedeck PPTX	line 20	[slide116] SIGA-AA30 and SIGA-AA50 Audio Amplifiers are 30 and 50 watt, dual input, high efficiency, switch mode amplifiers capable of producing a 25 or 70 VRMS audio signal from a 1 or 25 VRMS input. Typically, channel 1 input is used for alert signals and channel 2 input for evacuation (EVAC) signals. Both amplifier models are field-configurable and use two addresses on the signaling line circuit. Activating the primary (first) address selects the signal on channel 1. Activating both addresses selects the signal on channel 2.  | SIGA-aa30/aa50 | MODULE
SIGA-AB4G-LF	Slidedeck PPTX	line 90	[slide39] SIGA-AB4-LF | The SIGA-AB4G-LF Low Frequency Audible Detector Base adds 520 Hz audible output functions to any compatible detector listed in Table 2. The output of the base is field-configurable for output mode (fire alarm or fire-plus-CO alarm) and output volume (low or high dBA).  | For the fire output mode, the base firmware generates TC3 tones. Synchronized operation requires a separately installed synchronization control module. For the fire-plus-CO mode, the base generates a steady tone. The power circuit requires a SIGA-TCDR temporal pattern generator module to generate and synchronize the TC3 and TC4 tones.  | Depending on the system supporting the detector signaling line circuit (SLC), the base can follow the state of the detector it supports, or can be controlled by program rules. This allows local or zoned operation.
SIGA-AB4GT	Exam DOCX	line 74	24. SIGA-AB4GT vs. SIGA-AB4-LF
SIGA-AB4GT	Slidedeck PPTX	line 86	[slide35] SIGA-AB4GT | The Signature Series model SIGA-AB4GT CO Compatible Sounder Base is a sounder base specifically designed for use with CO sensors. It is not compatible with a coded system. The base uses the same address and programming label as the detector it supports. It requires a SIGA-TCDR Temporal Pattern Generator to add the audible output function to any Signature Series detector.
SIGA-AB4GT	Slidedeck PPTX	line 86	[slide35] SIGA-AB4GT | The Signature Series model SIGA-AB4GT CO Compatible Sounder Base is a sounder base specifically designed for use with CO sensors. It is not compatible with a coded system. The base uses the same address and programming label as the detector it supports. It requires a SIGA-TCDR Temporal Pattern Generator to add the audible output function to any Signature Series detector.
SIGA-AB4GT	Slidedeck PPTX	line 87	[slide36] INSTALLING A SIGA-AB4GT | Select and install a compatible electrical box, and bring the field wiring into the box.  | The default volume setting for the base is high dBA. To configure it for low dBA, cut the circuit board trace on the back of the circuit board. See item 4 of Figure 2, and Table 4.  | Connect the field wiring to the terminals on the back of the base plate. For the unit to function properly, observe polarity. See Figure 2.  | Attach the base plate to the electrical box. See Figure 4.  | Align the trim ring so that the four tabs on the ring mate with the four slots in the base plate, and then press the trim ring onto the base plate until the tabs lock.
SIGA-AB4GT	Slidedeck PPTX	line 88	[slide37] WIRING A SIGA-AB4GT
SIGA-AB4GT	Slidedeck PPTX	line 89	[slide38] SIGA-AB4GT SPECIFICATIONS
SIGA-AB4-LF	Exam DOCX	line 74	24. SIGA-AB4GT vs. SIGA-AB4-LF
SIGA-AB4-LF	Slidedeck PPTX	line 90	[slide39] SIGA-AB4-LF | The SIGA-AB4G-LF Low Frequency Audible Detector Base adds 520 Hz audible output functions to any compatible detector listed in Table 2. The output of the base is field-configurable for output mode (fire alarm or fire-plus-CO alarm) and output volume (low or high dBA).  | For the fire output mode, the base firmware generates TC3 tones. Synchronized operation requires a separately installed synchronization control module. For the fire-plus-CO mode, the base generates a steady tone. The power circuit requires a SIGA-TCDR temporal pattern generator module to generate and synchronize the TC3 and TC4 tones.  | Depending on the system supporting the detector signaling line circuit (SLC), the base can follow the state of the detector it supports, or can be controlled by program rules. This allows local or zoned operation.
SIGA-AB4-LF	Slidedeck PPTX	line 92	[slide40] INSTALLING A SIGA-AB4-LF | Select and install a compatible electrical box, and bring the field wiring into the box.  | The default mode setting for the base is for fire alarms. To configure it for fire-plus-CO alarms, remove the MODE jumper. (See Figure 3 for jumper locations.)  | The default volume setting for the base is high dBA. To configure it for low dBA, remove the HI/LOW jumper.  | Connect the field wiring to the terminals on the back of the base. For the unit to function properly, you must observe polarity. See Figure 3 and the diagrams in â€œWiringâ€ on page 3.  | Attach the base to the electrical box.  | Position the trim ring using the alignment marks, press the trim ring onto the base plate, and then turn the trim ring slightly until the tabs lock.  | Position the detector using the alignment marks, press the detector into the base, and then turn the detector clockwise until it locks into place.
SIGA-AB4-LF	Slidedeck PPTX	line 93	[slide41] WIRING A SIGA-AB4-LF
SIGA-AB4-LF	Slidedeck PPTX	line 94	[slide42] SIGA-AB4-LF SPECIFICATIONS
SIGA-AB4-LFD	Exam DOCX	line 131	A. G1 SeriesB. G4S SeriesC. SIGA-AB4-LFD. SIGA-RB4
SIGA-CC1	Exam DOCX	line 81	A. SIGA-CT1B. SIGA-CT2C. SIGA-CRHD. SIGA-CC1
SIGA-CC1	Exam DOCX	line 90	32. Does the SIGA-CC1(S) provide synchronization?
SIGA-CC1	Exam DOCX	line 97	A. SIGA-RELB. SIGA-RM1C. SIGA-CRD. SIGA-CC1
SIGA-CC1	Slidedeck PPTX	line 140	[slide84] The SIGA-CC1S Auto-Sync Output Module is an addressable module that is used to connect the following circuits:  | Audible and visible notification appliance circuits (synchronized or unsynchronized)  | Speaker circuits  | Two-way telephone communication circuits (three-state or four-state)  | SIGA-CC1 DOES NOT PROVIDE SYNCHRONIZATION | Upon command from the loop controller, the module connects the riser to the output circuit. The module requires one address on the signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. Diagnostic LEDs provide visible indication of the state of the module through the cover plate:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CC1(S) | MODULE
SIGA-CC1	Slidedeck PPTX	line 140	[slide84] The SIGA-CC1S Auto-Sync Output Module is an addressable module that is used to connect the following circuits:  | Audible and visible notification appliance circuits (synchronized or unsynchronized)  | Speaker circuits  | Two-way telephone communication circuits (three-state or four-state)  | SIGA-CC1 DOES NOT PROVIDE SYNCHRONIZATION | Upon command from the loop controller, the module connects the riser to the output circuit. The module requires one address on the signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. Diagnostic LEDs provide visible indication of the state of the module through the cover plate:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CC1(S) | MODULE
SIGA-CC1	Slidedeck PPTX	line 141	[slide85] SIGA-CC1(S) INSTALLATION NOTES | The module is shipped from the factory as an assembled unit; it contains no user-serviceable parts and should not be disassembled.  | This module does not operate without electrical power. As fires frequently cause power interruption, discuss further safeguards with the local fire protection specialist.
SIGA-CC1	Slidedeck PPTX	line 142	[slide86] INSTALLING A SIGA-CC1(S) | Write the address assigned to the module on the label provided, and then apply the label to the module. Remove the serial number label from the module, and then attach it to the project documentation.  | Connect the field wires. See â€œWiringâ€ below.  | Using the self-tapping screw, attach the wall plate to the module. See Figure 1.  | Using the four machine screws, attach the wall plate and module to the electrical box.
SIGA-CC1	Slidedeck PPTX	line 143	[slide87] WIRING A SIGA-CC1(S)
SIGA-CC1	Slidedeck PPTX	line 144	[slide88] SIGA-CC1(S) SPECIFICATIONS
SIGA-CC1(S)	Exam DOCX	line 89	A. SIGA-CT2B. SIGA-CRHC. SIGA-CC1(S)D. SIGA-RM1
SIGA-CC1D	Exam DOCX	line 87	A. SIGA-CRB. SIGA-CRHC. SIGA-CC1D. SIGA-UIO6
SIGA-CC1S	Slidedeck PPTX	line 140	[slide84] The SIGA-CC1S Auto-Sync Output Module is an addressable module that is used to connect the following circuits:  | Audible and visible notification appliance circuits (synchronized or unsynchronized)  | Speaker circuits  | Two-way telephone communication circuits (three-state or four-state)  | SIGA-CC1 DOES NOT PROVIDE SYNCHRONIZATION | Upon command from the loop controller, the module connects the riser to the output circuit. The module requires one address on the signaling line circuit (SLC). Addresses are assigned electronically. There are no address switches. Diagnostic LEDs provide visible indication of the state of the module through the cover plate:  | Normal: Flashes green  | Alarm/active: Flashes red | SIGA-CC1(S) | MODULE
SIGA-CC1S	Slidedeck PPTX	line 33	[slide128] Bps10a siga-cc1s activation
SIGA-COD	Exam DOCX	line 270	SIGA-COD â€” carbon monoxide detection.
SIGA-COD	Exam DOCX	line 47	12. What does the SIGA-COD specifically detect?
SIGA-COD	Exam DOCX	line 49	13. What does the SIGA-COD NOT detect?
SIGA-COD	Exam DOCX	line 52	A. SIGA-HFDB. SIGA-HRDC. SIGA-OSDD. SIGA-COD
SIGA-COD	Exam DOCX	line 54	A. SIGA-HFDB. SIGA-HRDC. SIGA-OSDD. SIGA-COD
SIGA-COD	Exam DOCX	line 64	19. What is the stated lifespan of the SIGA-COD?
SIGA-COD	Slidedeck PPTX	line 57	[slide15] SIGA-cod | The SIGA-COD series of Signature Intelligent CO Sensor detects carbon monoxide from any source of combustion and analyzes the sensor data to determine whether to initiate a life safety CO alarm. They do not detect heat from a fire, smoke, or any other gas.  | 10-year Lifespan | Normal: Green LED indicator flashes, no action.  | Alarm/active: Red LED indicator flashes, evacuate the area.  | DETECTOR
SIGA-COD	Slidedeck PPTX	line 57	[slide15] SIGA-cod | The SIGA-COD series of Signature Intelligent CO Sensor detects carbon monoxide from any source of combustion and analyzes the sensor data to determine whether to initiate a life safety CO alarm. They do not detect heat from a fire, smoke, or any other gas.  | 10-year Lifespan | Normal: Green LED indicator flashes, no action.  | Alarm/active: Red LED indicator flashes, evacuate the area.  | DETECTOR
